380. sec: +0.7, ay: -0.0698, gx: -0.4663, angle: 2
381. sec: +0.7, ay: -0.0923, gx: -0.4703, angle: 2
382. sec: +0.7, ay: -0.0908, gx: -0.4114, angle: 2
383. sec: +0.7, ay: -0.0762, gx: -0.3868, angle: 2
384. sec: +0.7, ay: -0.0708, gx: -0.3706, angle: 2
385. sec: +0.7, ay: -0.0605, gx: -0.3605, angle: 2
386. sec: +0.7, ay: -0.0608, gx: -0.3511, angle: 2
387. sec: +0.7, ay: -0.0522, gx: -0.3455, angle: 2
388. sec: +0.7, ay: -0.0466, gx: -0.3497, angle: 2
389. sec: +0.7, ay: -0.0481, gx: -0.3537, angle: 2
390. sec: +0.7, ay: -0.0549, gx: -0.3620, angle: 2
391. sec: +0.7, ay: -0.0593, gx: -0.3706, angle: 2
392. sec: +0.7, ay: -0.0554, gx: -0.3782, angle: 2
393. sec: +0.7, ay: -0.0579, gx: -0.3850, angle: 2
394. sec: +0.7, ay: -0.0544, gx: -0.3982, angle: 2
395. sec: +0.7, ay: -0.0535, gx: -0.4150, angle: 3
396. sec: +0.7, ay: -0.0496, gx: -0.4271, angle: 3
397. sec: +0.7, ay: -0.0554, gx: -0.4413, angle: 3
398. sec: +0.7, ay: -0.0569, gx: -0.4533, angle: 3
399. sec: +0.7, ay: -0.0586, gx: -0.4627, angle: 3
400. sec: +0.7, ay: -0.0659, gx: -0.4635, angle: 3
401. sec: +0.7, ay: -0.0725, gx: -0.4711, angle: 3
402. sec: +0.7, ay: -0.0776, gx: -0.4435, angle: 3
403. sec: +0.7, ay: -0.0813, gx: -0.4442, angle: 3
404. sec: +0.7, ay: -0.0833, gx: -0.4860, angle: 3
405. sec: +0.7, ay: -0.0847, gx: -0.4920, angle: 3
406. sec: +0.7, ay: -0.0852, gx: -0.5005, angle: 3
407. sec: +0.7, ay: -0.0901, gx: -0.5096, angle: 3
408. sec: +0.7, ay: -0.0923, gx: -0.5188, angle: 3
409. sec: +0.7, ay: -0.0732, gx: -0.5295, angle: 3
410. sec: +0.7, ay: -0.0610, gx: -0.5345, angle: 3
